合约代码,周开盘价,周最高价,周最低价,周收盘价,涨跌,持仓量,持仓变化,周末结算价,成交量,成交金额
HO2507-C-2350                 ,398.8,405.4,391.6,405.4,-20.2,0,-16,408.54,21,83.642
HO2507-C-2375                 ,359.2,380.4,359.2,380.4,-1,0,-25,383.54,4,15.014
HO2507-C-2400                 ,341.8,363,331,355.4,-21,0,-38,358.54,64,217.536
HO2507-C-2425                 ,null,null,null,354.2,0,0,-25,333.54,0,0
HO2507-C-2450                 ,313,313,280.2,305.2,-21.2,0,-56,308.54,35,104.316
HO2507-C-2475                 ,284,288.8,256.2,282,-3,0,-33,283.54,98,265.362
HO2507-C-2500                 ,261.2,267.8,224.4,257,0.2,0,-333,258.54,490,1226.816
HO2507-C-2550                 ,213.6,216.4,174.6,207,-5.2,0,-119,208.54,307,604.524
HO2507-C-2600                 ,163.2,170.2,124.6,159,-4,0,-954,158.54,1484,2217.324
HO2507-C-2650                 ,111.8,120.6,75,108.2,-3.4,0,-1506,108.54,5532,5302.51
HO2507-C-2700                 ,61.2,70.2,28.4,58.2,-6.8,0,-2640,58.54,26069,11919.664
HO2507-C-2750                 ,24.8,31,4,8.2,-17.8,0,-3238,8.54,43127,5165.022
HO2507-C-2800                 ,9,12,0.2,0.2,-9.8,0,-4179,0,16082,609.514
HO2507-C-2850                 ,5,5,0.2,0.2,-4.8,0,-2175,0,3891,71.508
HO2507-C-2900                 ,3,3,0.2,0.2,-2.4,0,-1634,0,2092,21.918
HO2507-C-2950                 ,1.8,2.2,0.2,0.2,-1.8,0,-1577,0,1477,10.374
HO2507-C-3000                 ,1,1.6,0.2,0.2,-1.2,0,-1178,0,1202,6.216
HO2507-C-3050                 ,1,1,0.2,0.2,-0.8,0,-3074,0,1568,6.978
HO2507-P-2350                 ,0.4,0.4,0.2,0.2,0,0,-483,0,151,0.376
HO2507-P-2375                 ,0.2,0.2,0.2,0.2,0,0,-213,0,79,0.158
HO2507-P-2400                 ,0.4,0.4,0.2,0.2,-0.2,0,-535,0,91,0.238
HO2507-P-2425                 ,0.4,0.4,0.2,0.2,0,0,-129,0,80,0.178
HO2507-P-2450                 ,0.4,0.4,0.2,0.2,-0.2,0,-147,0,154,0.414
HO2507-P-2475                 ,0.2,0.4,0.2,0.2,-0.2,0,-174,0,141,0.33
HO2507-P-2500                 ,0.2,0.6,0.2,0.2,0,0,-1533,0,601,1.568
HO2507-P-2550                 ,0.6,0.6,0.2,0.2,-0.4,0,-706,0,338,1.158
HO2507-P-2600                 ,1,1.2,0.2,0.2,-0.8,0,-1463,0,1017,4.986
HO2507-P-2650                 ,1.8,2.2,0.2,0.2,-1.6,0,-2664,0,2763,28.79
HO2507-P-2700                 ,3.2,8.2,0.2,0.2,-4.2,0,-2965,0,14943,458.492
HO2507-P-2750                 ,18,33,0.2,0.2,-15.8,0,-2086,0,30374,4973.034
HO2507-P-2800                 ,48.2,77.4,30.4,41.4,-6.8,0,-1280,41.46,10472,5803.148
HO2507-P-2850                 ,114.2,126,79.6,92.2,-0.6,0,-295,91.46,1323,1393.584
HO2507-P-2900                 ,139.8,175.2,129.8,143,1.4,0,-105,141.46,466,710.934
HO2507-P-2950                 ,189,224.2,184.6,191,-0.8,0,-131,191.46,202,408.078
HO2507-P-3000                 ,242.2,272.2,230.2,243.4,6.6,0,-149,241.46,81,201.868
HO2507-P-3050                 ,298,319.6,286,295,10,0,-141,291.46,39,116.636
HO2508-C-2375                 ,355.4,377.8,355.4,377.8,7,5,-1,393.8,5,18.326
HO2508-C-2400                 ,329.8,359.4,329.8,359.4,-11,8,0,365.8,6,20.734
HO2508-C-2425                 ,329.4,337.8,305,334.4,15,14,5,340.6,23,76.262
HO2508-C-2450                 ,295.4,305.8,295.4,305.8,-6,8,0,315.6,4,11.992
HO2508-C-2475                 ,289.8,289.8,258.2,285.2,-2,5,0,290.8,12,32.698
HO2508-C-2500                 ,261.8,267.4,230,260.6,-4.4,54,46,269.2,69,173.12
HO2508-C-2550                 ,212,222,179.8,222,7.4,272,258,221.8,334,663.918
HO2508-C-2600                 ,174.8,174.8,133,171,2.6,530,267,176.6,526,814.326
HO2508-C-2650                 ,123,128.8,90.8,127,3.4,297,111,127,640,700.882
HO2508-C-2700                 ,85.2,91.4,57,85,-1.2,1057,731,85,3395,2470.552
HO2508-C-2750                 ,61.6,61.6,33.2,52.4,-5.4,2287,1438,52.4,8979,4143.338
HO2508-C-2800                 ,39.8,50,20.2,31.6,-6.2,2918,1331,31.6,9247,2679.854
HO2508-C-2850                 ,27,27.8,13,19.4,-7.6,2678,1214,19.4,5373,995.032
HO2508-C-2900                 ,19.6,22.4,8.6,12.8,-6.8,2536,1317,12.8,3683,460.332
HO2508-C-2950                 ,14.8,15.4,5.6,8.6,-6.2,1150,373,8.6,2172,199.662
HO2508-C-3000                 ,12.8,12.8,4.8,6.2,-6.4,1577,338,6.2,1682,128.018
HO2508-C-3050                 ,10.2,10.8,3.2,4.4,-5.8,2076,699,4.4,2177,120.74
HO2508-P-2375                 ,1.2,2.2,1,1,-0.2,161,38,0.8,145,2.008
HO2508-P-2400                 ,1.6,1.8,0.8,1,-0.4,76,17,0.8,20,0.254
HO2508-P-2425                 ,2,2.6,1.2,1.2,-0.6,73,5,1,51,0.96
HO2508-P-2450                 ,2,3,1.6,1.6,-0.4,86,19,1.2,102,2.458
HO2508-P-2475                 ,2.4,3.8,1.4,1.4,-1,105,39,1.4,207,5.79
HO2508-P-2500                 ,2.8,4.6,1.6,1.8,-1.2,348,99,1.8,406,12.132
HO2508-P-2550                 ,4.2,6.8,2.4,2.8,-1.4,402,66,2.8,825,33.152
HO2508-P-2600                 ,8,11,4,4.2,-3.8,1014,691,4.2,1602,114.84
HO2508-P-2650                 ,14,19.6,7.6,7.8,-6,1089,601,7.8,2159,285.53
HO2508-P-2700                 ,23,36,16,16,-10.6,1308,791,16,3812,985.288
HO2508-P-2750                 ,43.8,63,33.4,34,-15.2,1404,882,34,4645,2167.454
HO2508-P-2800                 ,76.4,99,61.6,61.6,-18.4,715,472,63,1141,905.154
HO2508-P-2850                 ,117.8,139,101.2,101.2,-10.2,158,82,99.8,230,279.004
HO2508-P-2900                 ,161.6,185.4,143.8,145.4,-8.8,155,83,143,231,384.6
HO2508-P-2950                 ,218.2,224.8,189.4,198.8,8.6,49,22,188.6,40,85.792
